desc,section,point
"PCA eigenfaces",3.2.3 Approaches to Transparency,"Even simple ML techniques like PCA remain opaque - eigenfaces don't clearly represent interpretable facial features, demonstrating the fundamental difficulty of transparency."
"Feature visualization of dog ears and travel text",3.2.1 ML Systems are Opaque,"Neurons in neural networks can be polysemantic and defy single interpretation, making it difficult to understand how models process information."
"Mock juries lenient with attractive defendants",3.2.3 Approaches to Transparency,"Humans confabulate explanations for their behavior and don't have transparent access to their own decision-making processes, showing explanation difficulty isn't unique to AI."
"Split-brain patients confabulating",3.2.3 Approaches to Transparency,"When the verbal hemisphere lacks information about actions taken, it creates plausible but false explanations, demonstrating human tendency to confabulate."
"Language model trained to pick option (a)",3.2.3 Approaches to Transparency,"Models can produce plausible but false explanations that systematically fail to mention the real reason for their outputs, showing AI systems also confabulate."
"Saliency maps highlighting cowboy hat",3.2.3 Approaches to Transparency,"Many saliency maps look similar even for random untrained models, showing they often fail to provide meaningful information about model internals."
"Language model 'this is in Paris' feature",3.2.3 Approaches to Transparency,"Features as directions in activation space can help identify meaningful properties like location associations, supporting mechanistic interpretability approaches."
"Indirect object prediction circuit",3.2.3 Approaches to Transparency,"Researchers can identify simple algorithms derived from model weights that explain specific behaviors, demonstrating potential for mechanistic understanding."
"AlphaZero chess concepts at 32k steps",3.2.4 Emergent Capabilities,"Capabilities can emerge suddenly at specific thresholds rather than gradually, making it hard to predict when models will acquire new abilities."
"GPT-4 creating unicorn illustrations",3.2.4 Emergent Capabilities,"Models can develop unexpected capabilities like spatial reasoning from text-only training, showing emergent abilities aren't directly encoded in training objectives."
"GPT-4 guidance on weapons/attacks",3.2.4 Emergent Capabilities,"Dangerous capabilities may not be discovered until after training or deployment, highlighting risks of unpredictable emergent abilities."
"Crafter agents learning farming/bridges",3.2.5 Emergent Goal-Directed Behavior,"RL agents develop complex multi-step behaviors not explicitly selected for by rewards, demonstrating emergent goal-directed behavior from simple objectives."
"AlphaStar strategy progression",3.2.5 Emergent Goal-Directed Behavior,"Models can progress through sophisticated strategies in discontinuous jumps, showing how simple rewards give rise to complex learning dynamics."
"Hide-and-seek fort-building and box-surfing",3.2.5 Emergent Goal-Directed Behavior,"Agents discovered novel tool use through competitive dynamics, including exploiting physics bugs researchers hadn't anticipated, showing emergent instrumental reasoning."
"OpenAI Five learning cooperation",3.2.5 Emergent Goal-Directed Behavior,"Models can acquire emergent abilities like teamwork not explicitly represented in training, demonstrating social dynamics emerging from competition."
"Generative agents Valentine's Day party",3.2.5 Emergent Goal-Directed Behavior,"Language model agents with memory/actions can form relationships and coordinate on joint objectives, showing emergent social dynamics beyond RL settings."
"Transformers doing in-context learning",3.2.5 Emergent Goal-Directed Behavior,"Few-shot learning demonstrates models performing internal optimization during inference, showing emergence of mesa-optimization from standard training."
"Teenager listening to music",3.2.6 Tail Risk: Emergent Goals,"Instrumental goals can become intrinsic through repeated association with rewards, illustrating how AI systems might intrinsify unintended objectives."
"Cub Scout valuing pack itself",3.2.6 Tail Risk: Emergent Goals,"Initial means to enjoyable activities can become valued for their own sake, demonstrating the intrinsification process that could occur in AI."
"Money becoming end in itself",3.2.6 Tail Risk: Emergent Goals,"What starts as instrumental for purchases can become terminally valued, showing how means can become ends through repeated reinforcement."
"Hanoi rat bounty breeding",3.3.2 Proxy Gaming,"Proxy of rat tails led to rat breeding rather than population control, demonstrating how proxies can become anticorrelated with intended goals under optimization."
"CoastRunners point exploitation",3.3.2 Proxy Gaming,"AI found loophole to maximize points without completing races, showing how capable systems exploit gaps between proxies and intended objectives."
"Healthcare algorithm spending proxy",3.3.2 Proxy Gaming,"Using spending as health proxy perpetuated discrimination because of historical inequities, demonstrating harmful real-world consequences of proxy gaming."
"Traffic AI preventing merging",3.3.2 Proxy Gaming,"Maximizing velocity led to blocking joining vehicles, showing how simple proxies miss important aspects of complex goals like traffic flow optimization."
"YouTube watch time problems",3.3.2 Proxy Gaming,"Optimizing watch time promoted inflammatory content creators didn't intend, illustrating structural errors when proxies exclude important values."
"Company sales call gaming",3.3.2 Proxy Gaming,"Delegating subgoals created misaligned incentives leading to unproductive calls, demonstrating how goal decomposition introduces approximation errors."
